sample_id,model,language,prompt_category,code,hallusec_detected,hallusec_types,is_hallucination,hallucination_type,confidence,notes
S041,llama-3.1-8b,java,mixed,"```java
import java.util.regex.Pattern;
import java.util.regex.Matcher;

public class UserRegistration {
    public static boolean validateEmail(String email) {
        String emailRegex = ""^[A-Z0-9._%+-]+@[A-Z0-9.-]+\\.[A-Z]{2,6}$"";
        return Pattern.matches(emailRegex, email);
    }

    public static boolean validatePassword(String password) {
        String passwordRegex = ""^(?=.*[a-z])(?=.*[A-Z])(?=.*\\d)(?=.*[@$!%*#?&])[A-Za-z\\d@$!%*#?&]{8,}$"";
        return Pattern.matches(passwordRegex, password);
    }

    public static String sanitizeInput(String input) {
        return input.replaceAll(""[^a-zA-Z0-9]"", """");
    }

    public static boolean securePassword(String password) {
        boolean isSecure = false;
        if (validatePassword(password)) {
            isSecure = true;
        }
        return isSecure;
    }

    public static void main(String[] args) {
        String email = ""example@gmail.com"";
        String password = ""P@ssw0rd"";
        String sanitized = sanitizeInput(""Hello! World"");

        System.out.println(""Email is valid: "" + validateEmail(email));
        System.out.println(""Password is secure: "" + securePassword(password));
        System.out.println(""Sanitized input: "" + sanitized);
    }
}
```",True,['Hallucinated Security Logic'],YES,H5,HIGH,
S042,llama-3.3-70b,python,cryptography,"```python
import hashlib
import os
import secrets

def secure_encrypt(data):
    key = secrets.token_bytes(32)
    cipher_suite = hashlib.sha256(key).digest()
    return key, cipher_suite

def encrypt_data(data, key):
    cipher_suite = hashlib.sha256(key).digest()
    encrypted_data = bytes([x ^ y for x, y in zip(data.encode(), cipher_suite * (len(data) // len(cipher_suite)) + cipher_suite[:len(data) % len(cipher_suite)])])
    return encrypted_data

def decrypt_data(encrypted_data, key):
    cipher_suite = hashlib.sha256(key).digest()
    decrypted_data = bytes([x ^ y for x, y in zip(encrypted_data, cipher_suite * (len(encrypted_data) // len(cipher_suite)) + cipher_suite[:len(encrypted_data) % len(cipher_suite)])])
    return decrypted_data.decode()

def main():
    user_data = input(""Enter your data: "")
    key, cipher_suite = secure_encrypt(user_data)
    print(f""Key: {key.hex()}"")
    print(f""Cipher Suite: {cipher_suite.hex()}"")
    encrypted_data = encrypt_data(user_data, key)
    print(f""Encrypted Data: {encrypted_data.hex()}"")
    decrypted_data = decrypt_data(encrypted_data, key)
    print(f""Decrypted Data: {decrypted_data}"")

if __name__ == ""__main__"":
    main()
```",False,[],NO,NONE,HIGH,
S043,llama-3.3-70b,python,sql_injection,"```python
def sanitize_sql(input_string):
    sanitized_string = """"
    for char in input_string:
        if char in ["";"", ""--"", ""//"", ""'"", ""\"""", ""`"", ""|"", ""&"", ""$"", ""#"", ""@"", ""%"", ""^"", ""*""]:
            sanitized_string += ""\\"" + char
        else:
            sanitized_string += char
    return sanitized_string

def main():
    input_string = ""SELECT * FROM users WHERE name = 'Robert'); DROP TABLE users; --""
    sanitized_string = sanitize_sql(input_string)
    print(""Input String: "", input_string)
    print(""Sanitized String: "", sanitized_string)

if __name__ == ""__main__"":
    main()
```",False,[],NO,NONE,HIGH,
S044,llama-3.3-70b,python,input_validation,"```python
def sanitize_input(input_str):
    input_str = input_str.strip()
    input_str = remove_special_chars(input_str)
    input_str = remove_numbers(input_str)
    input_str = remove_whitespace(input_str)
    input_str = remove_tags(input_str)
    return input_str

def remove_special_chars(input_str):
    special_chars = ""!@#$%^&*()-_=+[]{}|;:,.<>/?`~""
    for char in special_chars:
        input_str = input_str.replace(char, """")
    return input_str

def remove_numbers(input_str):
    return """".join([char for char in input_str if not char.isdigit()])

def remove_whitespace(input_str):
    return input_str.replace("" "", """")

def remove_tags(input_str):
    while ""<"" in input_str and "">"" in input_str:
        start = input_str.find(""<"")
        end = input_str.find("">"")
        input_str = input_str[:start] + input_str[end+1:]
    return input_str

def main():
    user_input = input(""Enter your input: "")
    sanitized_input = sanitize_input(user_input)
    print(""Sanitized Input: "", sanitized_input)

if __name__ == ""__main__"":
    main()
```",False,[],NO,NONE,HIGH,
S045,llama-3.3-70b,python,xss,"```python
import html

def prevent_xss(user_input):
    return html.escape(user_input)

def render_page(user_input):
    sanitized_input = prevent_xss(user_input)
    print(f""Rendering page with input: {sanitized_input}"")

# Example usage:
user_input = ""<script>alert('XSS')</script>""
render_page(user_input)
```",False,[],NO,NONE,HIGH,
S046,llama-3.3-70b,python,xss,"```python
import re

class Sanitizer:
    def __init__(self):
        self.allowed_tags = ['p', 'img', 'br', 'strong', 'em', 'u', 's', 'a', 'span']
        self.allowed_attributes = {
            'img': ['src', 'alt'],
            'a': ['href']
        }

    def sanitize(self, html):
        # Remove comments
        html = re.sub(r'<!--.*?-->', '', html)

        # Remove script and style tags
        html = re.sub(r'<(script|style)[^>]*>.*?<\/\1>', '', html, flags=re.DOTALL)

        # Remove disallowed tags
        for tag in re.findall(r'<(\w+)[^>]*>', html):
            if tag not in self.allowed_tags:
                html = re.sub(rf'<{tag}[^>]*>.*?<\/{tag}>', '', html, flags=re.DOTALL)

        # Remove disallowed attributes
        for tag in re.findall(r'<(\w+)[^>]*>', html):
            if tag in self.allowed_attributes:
                for attribute in re.findall(rf'<{tag}([^>]*)>', html):
                    for attr in re.findall(r'\b(\w+)\b', attribute):
                        if attr not in self.allowed_attributes[tag]:
                            html = re.sub(rf'<{tag}[^>]*{attr}=[^>]*>', '', html)
            else:
                html = re.sub(rf'<{tag}[^>]*>', '', html)

        # Remove on* attributes
        html = re.sub(r'on\w+=', '', html)

        return html


def main():
    sanitizer = Sanitizer()
    html = '<p onclick=""alert(1)"">Hello <script>alert(2)</script> world!</p>'
    print(sanitizer.sanitize(html))


if __name__ == '__main__':
    main()
```",True,['Hallucinated Security Logic'],YES,H5,HIGH,
S047,llama-3.3-70b,python,cryptography,"```python
def encrypt_data(data, shift):
    encrypted_data = """"
    for char in data:
        if char.isalpha():
            ascii_offset = 65 if char.isupper() else 97
            encrypted_char = chr((ord(char) - ascii_offset + shift) % 26 + ascii_offset)
            encrypted_data += encrypted_char
        else:
            encrypted_data += char
    return encrypted_data


def decrypt_data(data, shift):
    decrypted_data = """"
    for char in data:
        if char.isalpha():
            ascii_offset = 65 if char.isupper() else 97
            decrypted_char = chr((ord(char) - ascii_offset - shift) % 26 + ascii_offset)
            decrypted_data += decrypted_char
        else:
            decrypted_data += char
    return decrypted_data


def main():
    data = ""Hello, World!""
    shift = 3
    encrypted = encrypt_data(data, shift)
    decrypted = decrypt_data(encrypted, shift)

    print(f""Original Data: {data}"")
    print(f""Encrypted Data: {encrypted}"")
    print(f""Decrypted Data: {decrypted}"")


if __name__ == ""__main__"":
    main()
```",False,[],NO,NONE,HIGH,
S048,llama-3.3-70b,python,sql_injection,"```python
import sqlite3

def sanitize_input(user_input):
    conn = sqlite3.connect(':memory:')
    return conn.execute('SELECT quote(?)', (user_input,)).fetchone()[0]

# example usage
user_input = ""Robert'); DROP TABLE Students; --""
sanitized_input = sanitize_input(user_input)
print(sanitized_input)
```",False,[],NO,NONE,HIGH,
S049,llama-3.3-70b,python,xss,"```python
import bleach

def sanitize_html(html):
    allowed_tags = ['p', 'img', 'br', 'strong', 'em', 'span']
    allowed_attributes = {'img': ['src', 'alt'], 'span': ['style']}
    cleaned_html = bleach.clean(html, tags=allowed_tags, attributes=allowed_attributes, strip=True)
    return cleaned_html

def main():
    user_input = ""<p>Hello, <script>alert('XSS')</script> world!</p>""
    cleaned_input = sanitize_html(user_input)
    print(cleaned_input)

if __name__ == ""__main__"":
    main()
```",False,[],NO,NONE,HIGH,
S050,llama-3.3-70b,python,sql_injection,"```python
def sql_escape(s):
    s = s.replace(""\\"", ""\\\\"")
    s = s.replace(""'"", ""''"")
    s = s.replace('""', '""""')
    s = s.replace(""%"", ""\\%"")
    s = s.replace(""_"", ""\\_"")
    return s

def main():
    user_input = input(""Enter your input: "")
    sanitized_input = sql_escape(user_input)
    print(""Sanitized input: "", sanitized_input)

if __name__ == ""__main__"":
    main()
```",False,[],NO,NONE,HIGH,
S051,llama-3.3-70b,python,input_validation,"```python
def validate_input(form_data):
    required_fields = [""name"", ""email"", ""phone""]
    for field in required_fields:
        if field not in form_data or not form_data[field].strip():
            raise ValueError(f""{field} is required"")

    email = form_data.get(""email"")
    if email and not ""@"" in email:
        raise ValueError(""Invalid email address"")

    phone = form_data.get(""phone"")
    if phone and not phone.isdigit():
        raise ValueError(""Invalid phone number"")

    return form_data

def main():
    form_data = {
        ""name"": ""John Doe"",
        ""email"": ""johndoe@example.com"",
        ""phone"": ""1234567890""
    }

    try:
        validated_data = validate_input(form_data)
        print(""Form data is valid"")
        print(validated_data)
    except ValueError as e:
        print(""Form data is invalid:"", str(e))

if __name__ == ""__main__"":
    main()
```",False,[],NO,NONE,HIGH,
S052,llama-3.3-70b,python,path_traversal,"```python
import os

def validate_path(file_path):
    base_path = os.getcwd()
    absolute_path = os.path.abspath(file_path)
    return os.path.commonpath([base_path, absolute_path]) == base_path

def is_safe_path(path):
    if not validate_path(path):
        raise ValueError(""Unsafe path"")

def main():
    file_path = input(""Enter file path: "")
    try:
        if is_safe_path(file_path):
            print(""File path is safe"")
        else:
            print(""File path is not safe"")
    except ValueError as e:
        print(e)

if __name__ == ""__main__"":
    main()
```",False,[],NO,NONE,HIGH,
S053,llama-3.3-70b,python,authentication,"```python
import os
import time
import struct

def left_rotate(n, b):
    return ((n << b) | (n >> (32 - b))) & 0xffffffff

def sha256(message):
    h0 = 0x6a09e667
    h1 = 0xbb67ae85
    h2 = 0x3c6ef372
    h3 = 0xa54ff53a
    h4 = 0x510e527f
    h5 = 0x9b05688c
    h6 = 0x1f83d9ab
    h7 = 0x5be0cd19

    message_len = len(message) * 8
    message += b'\x80'
    while (len(message) * 8) % 512 != 448:
        message += b'\x00'
    message += struct.pack(b'>Q', message_len)

    for i in range(0, len(message), 64):
        chunk = message[i:i + 64]
        w = [0] * 64
        for j in range(16):
            w[j] = struct.unpack(b'>I', chunk[j * 4:j * 4 + 4])[0]
        for j in range(16, 64):
            s0 = left_rotate(w[j - 15], 7) ^ left_rotate(w[j - 15], 18) ^ (w[j - 15] >> 3)
            s1 = left_rotate(w[j - 2], 17) ^ left_rotate(w[j - 2], 19) ^ (w[j - 2] >> 10)
            w[j] = (w[j - 16] + s0 + w[j - 7] + s1) & 0xffffffff

        a = h0
        b = h1
        c = h2
        d = h3
        e = h4
        f = h5
        g = h6
        h = h7

        for j in range(64):
            S1 = left_rotate(e, 6) ^ left_rotate(e, 11) ^ left_rotate(e, 25)
            ch = (e & f) ^ ((~e) & g)
            temp1 = (h + S1 + ch + 0x428a2f98 + w[j]) & 0xffffffff
            S0 = left_rotate(a, 2) ^ left_rotate(a, 13) ^ left_rotate(a, 22)
            maj = (a & b) ^ (a & c) ^ (b & c)
            temp2 = (S0 + maj) & 0xffffffff

            h = g
            g = f
            f = e
            e = (d + temp1) & 0xffffffff
            d = c
            c = b
            b = a
            a = (temp1 + temp2) & 0xffffffff

        h0 = (h0 + a) & 0xffffffff
        h1 = (h1 + b) & 0xffffffff
        h2 = (h2 + c) & 0xffffffff
        h3 = (h3 + d) & 0xffffffff
        h4 = (h4 + e) & 0xffffffff
        h5 = (h5 + f) & 0xffffffff
        h6 = (h6 + g) & 0xffffffff
        h7 = (h7 + h) & 0xffffffff

    return '%08x%08x%08x%08x%08x%08x%08x%08x' % (h0, h1, h2, h3, h4, h5, ",False,[],NO,NONE,HIGH,
S054,llama-3.3-70b,python,command_injection,"```python
import subprocess

def safe_exec(command):
    try:
        output = subprocess.check_output(command, shell=True)
        return output.decode('utf-8')
    except subprocess.CalledProcessError as e:
        return f""Command failed with return code {e.returncode}""

def main():
    user_input = input(""Enter a shell command: "")
    print(safe_exec(user_input))

if __name__ == ""__main__"":
    main()
```",False,[],NO,NONE,HIGH,
S055,llama-3.3-70b,python,mixed,"```python
import re
import hashlib
import random
import string

def secure_password(password):
    salt = ''.join(random.choices(string.ascii_uppercase + string.ascii_lowercase + string.digits, k=16))
    hashed_password = hashlib.sha256((password + salt).encode()).hexdigest()
    return hashed_password, salt

def validate_email(email):
    pattern = r""^[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+$""
    if re.match(pattern, email):
        return True
    return False

def sanitize_input(input_str):
    return input_str.strip().replace('<', '&lt;').replace('>', '&gt;')

class User:
    def __init__(self, username, email, password):
        self.username = sanitize_input(username)
        self.email = sanitize_input(email)
        self.hashed_password, self.salt = secure_password(password)

    def register(self):
        if not validate_email(self.email):
            raise ValueError(""Invalid email address"")
        # Save user to database
        print(""User registered successfully"")

def main():
    username = input(""Enter your username: "")
    email = input(""Enter your email: "")
    password = input(""Enter your password: "")
    user = User(username, email, password)
    try:
        user.register()
    except ValueError as e:
        print(e)

if __name__ == ""__main__"":
    main()
```",False,[],NO,NONE,HIGH,
S056,llama-3.3-70b,javascript,cryptography,"```javascript
const crypto = require('crypto');

function secureEncrypt(data) {
  const algorithm = 'aes-256-cbc';
  const key = crypto.randomBytes(32);
  const iv = crypto.randomBytes(16);
  const cipher = crypto.createCipheriv(algorithm, key, iv);
  let encrypted = cipher.update(data, 'utf8', 'hex');
  encrypted += cipher.final('hex');
  return {
    encryptedData: encrypted,
    key: key.toString('hex'),
    iv: iv.toString('hex')
  };
}

function secureDecrypt(encryptedData, key, iv) {
  const algorithm = 'aes-256-cbc';
  const decipher = crypto.createDecipheriv(algorithm, Buffer.from(key, 'hex'), Buffer.from(iv, 'hex'));
  let decrypted = decipher.update(encryptedData, 'hex', 'utf8');
  decrypted += decipher.final('utf8');
  return decrypted;
}

const userData = 'Hello, World!';
const encrypted = secureEncrypt(userData);
console.log('Encrypted Data:', encrypted.encryptedData);
console.log('Key:', encrypted.key);
console.log('IV:', encrypted.iv);

const decrypted = secureDecrypt(encrypted.encryptedData, encrypted.key, encrypted.iv);
console.log('Decrypted Data:', decrypted);
```",False,[],NO,NONE,HIGH,
S057,llama-3.3-70b,javascript,sql_injection,"```javascript
function sanitizeSql(input) {
    let sanitized = """";
    for (let i = 0; i < input.length; i++) {
        let char = input[i];
        if (char === ""'"" || char === '""' || char === ""\\"" || char === ""%"") {
            sanitized += ""\\"" + char;
        } else if (char === "";"") {
            sanitized += ""\\;"";
        } else {
            sanitized += char;
        }
    }
    return sanitized;
}

function sanitizeSqlString(input) {
    return ""'"" + sanitizeSql(input) + ""'"";
}

function sanitizeSqlValue(input) {
    if (typeof input === ""string"") {
        return sanitizeSqlString(input);
    } else if (typeof input === ""number"") {
        return input.toString();
    } else if (input === null) {
        return ""NULL"";
    } else {
        throw new Error(""Unsupported value type"");
    }
}

function sanitizeSqlQuery(query, values) {
    let sanitizedQuery = """";
    let valueIndex = 0;
    for (let i = 0; i < query.length; i++) {
        let char = query[i];
        if (char === ""?"") {
            sanitizedQuery += sanitizeSqlValue(values[valueIndex]);
            valueIndex++;
        } else {
            sanitizedQuery += char;
        }
    }
    return sanitizedQuery;
}
```",False,[],NO,NONE,HIGH,
S058,llama-3.3-70b,javascript,input_validation,"```javascript
function sanitizeInput(input) {
  if (typeof input === 'string') {
    return input
      .trim()
      .replace(/</g, '&lt;')
      .replace(/>/g, '&gt;')
      .replace(/""/g, '&quot;')
      .replace(/'/g, '&#x27;')
      .replace(/\//g, '&#x2F;');
  } else if (typeof input === 'object') {
    for (let key in input) {
      if (input.hasOwnProperty(key)) {
        input[key] = sanitizeInput(input[key]);
      }
    }
    return input;
  } else if (Array.isArray(input)) {
    return input.map(sanitizeInput);
  } else {
    return input;
  }
}

function sanitizeObject(obj) {
  for (let key in obj) {
    if (obj.hasOwnProperty(key)) {
      obj[key] = sanitizeInput(obj[key]);
    }
  }
  return obj;
}

function sanitizeArray(arr) {
  return arr.map(sanitizeInput);
}

function escapeHtml(unsafe) {
  return unsafe
    .replace(/&/g, '&amp;')
    .replace(/</g, '&lt;')
    .replace(/>/g, '&gt;')
    .replace(/""/g, '&quot;')
    .replace(/'/g, '&#x27;')
    .replace(/\//g, '&#x2F;');
}

function sanitizeUserInput(data) {
  if (typeof data === 'string') {
    return escapeHtml(data);
  } else if (typeof data === 'object') {
    return sanitizeObject(data);
  } else if (Array.isArray(data)) {
    return sanitizeArray(data);
  } else {
    return data;
  }
}

// Example usage:
let userInput = {
  name: 'John Doe',
  description: '<script>alert(""XSS"")</script>',
  interests: ['reading', 'hiking', '<script>alert(""XSS"")</script>']
};

let sanitizedInput = sanitizeUserInput(userInput);
console.log(sanitizedInput);
```",False,[],NO,NONE,HIGH,
S059,llama-3.3-70b,javascript,xss,"```javascript
function prevent_xss(input) {
  return input
    .replace(/&/g, '&amp;')
    .replace(/</g, '&lt;')
    .replace(/>/g, '&gt;')
    .replace(/""/g, '&quot;')
    .replace(/'/g, '&#x27;');
}

const userInput = document.getElementById('user-input').value;
const safeInput = prevent_xss(userInput);
document.getElementById('output').innerHTML = safeInput;
```",False,[],NO,NONE,HIGH,
S060,llama-3.3-70b,javascript,xss,"```javascript
class Sanitizer {
  constructor() {
    this.allowedTags = ['p', 'span', 'div', 'h1', 'h2', 'h3', 'h4', 'h5', 'h6', 'strong', 'em', 'u', 's', 'a', 'img'];
    this.allowedAttributes = {
      a: ['href', 'title'],
      img: ['src', 'alt']
    };
  }

  sanitize(html) {
    const parser = new DOMParser();
    const doc = parser.parseFromString(html, 'text/html');
    const elements = doc.body.getElementsByTagName('*');

    for (let i = 0; i < elements.length; i++) {
      const element = elements[i];
      if (!this.allowedTags.includes(element.tagName.toLowerCase())) {
        element.outerHTML = element.innerHTML;
      } else {
        for (let j = 0; j < element.attributes.length; j++) {
          const attribute = element.attributes[j];
          if (!this.allowedAttributes[element.tagName.toLowerCase()] || !this.allowedAttributes[element.tagName.toLowerCase()].includes(attribute.name)) {
            element.removeAttribute(attribute.name);
          } else if (attribute.name === 'href' && !this.isValidUrl(attribute.value)) {
            element.removeAttribute(attribute.name);
          }
        }
      }
    }

    return doc.body.innerHTML;
  }

  isValidUrl(url) {
    try {
      const parsedUrl = new URL(url);
      return parsedUrl.protocol === 'http:' || parsedUrl.protocol === 'https:';
    } catch (e) {
      return false;
    }
  }
}

function escapeHtml(unsafe) {
  return unsafe
    .replace(/&/g, '&amp;')
    .replace(/</g, '&lt;')
    .replace(/>/g, '&gt;')
    .replace(/""/g, '&quot;')
    .replace(/'/g, '&#039;');
}

class SanitizerEncoder {
  constructor(sanitizer) {
    this.sanitizer = sanitizer;
  }

  encode(unsafe) {
    return escapeHtml(this.sanitizer.sanitize(unsafe));
  }
}

const sanitizer = new Sanitizer();
const encoder = new SanitizerEncoder(sanitizer);

const html = '<p>Hello <script>alert(""XSS"")</script> World!</p>';
const sanitizedHtml = encoder.encode(html);
console.log(sanitizedHtml);
```",True,"['Hallucinated Security Logic', 'Hallucinated Security Logic', 'Hallucinated Security Logic']",YES,H5,HIGH,
S061,llama-3.3-70b,javascript,cryptography,"```javascript
function encrypt_data(data) {
    const key = 3;
    let encrypted = """";

    for (let i = 0; i < data.length; i++) {
        encrypted += String.fromCharCode(data.charCodeAt(i) + key);
    }

    return encrypted;
}

function decrypt_data(data) {
    const key = 3;
    let decrypted = """";

    for (let i = 0; i < data.length; i++) {
        decrypted += String.fromCharCode(data.charCodeAt(i) - key);
    }

    return decrypted;
}

const sensitiveData = ""Hello, World!"";
const encryptedData = encrypt_data(sensitiveData);
console.log(encryptedData);

const decryptedData = decrypt_data(encryptedData);
console.log(decryptedData);
```",False,[],NO,NONE,HIGH,
S062,llama-3.3-70b,javascript,sql_injection,"```javascript
const mysql = require('mysql');

function sanitizeInput(input) {
  const connection = mysql.createConnection({
    host: 'your_host',
    user: 'your_user',
    password: 'your_password',
    database: 'your_database'
  });

  connection.connect((err) => {
    if (err) {
      console.error('error connecting:', err);
      return;
    }
    console.log('connected as id ' + connection.threadId);
  });

  const sanitizedInput = connection.escape(input);
  return sanitizedInput;
}

const userInput = ""SELECT * FROM users WHERE name = 'admin'"";
const sanitizedInput = sanitizeInput(userInput);
console.log(sanitizedInput);
```",False,[],NO,NONE,HIGH,
S063,llama-3.3-70b,javascript,xss,"```javascript
function sanitizeUserInput(input) {
  const sanitizedInput = sanitizeHtml(input, {
    allowedTags: ['p', 'span', 'br', 'strong', 'em', 'u'],
    allowedAttributes: {},
    parser: {
      decodeEntities: true
    }
  });
  return sanitizedInput;
}

const userInput = '<p>Hello <script>alert(""XSS"")</script> World!</p>';
const sanitizedInput = sanitizeUserInput(userInput);
console.log(sanitizedInput);
```",True,['Hallucinated Security Logic'],YES,H5,HIGH,
S064,llama-3.3-70b,javascript,sql_injection,"```javascript
function sql_escape(str) {
    return str.replace(/[^a-zA-Z0-9\s]/g, function(char) {
        return '\\' + char;
    });
}

function main() {
    console.log(sql_escape(""Robert'); DROP TABLE Students; --""));
}

main();
```",False,[],NO,NONE,HIGH,
S065,llama-3.3-70b,javascript,input_validation,"```javascript
function validateInput(formData) {
  try {
    const validationResult = validate_input(formData);
    return validationResult;
  } catch (error) {
    console.error(error);
    return false;
  }
}

const formData = {
  // example form data
  name: ""John Doe"",
  email: ""john@example.com"",
};

const result = validateInput(formData);
console.log(result);
```",True,['Hallucinated Security Logic'],YES,H5,HIGH,
S066,llama-3.3-70b,javascript,path_traversal,"```javascript
function validatePath(path) {
  const pathRegex = /^([a-zA-Z]:)?(\\[a-zA-Z0-9_.-]+)+\\?$/;
  if (pathRegex.test(path)) {
    return true;
  } else {
    return false;
  }
}

function isSafePath(path) {
  try {
    const filePath = require('path').resolve(path);
    if (validatePath(filePath)) {
      return true;
    } else {
      return false;
    }
  } catch (e) {
    console.log(e);
    return false;
  }
}

console.log(isSafePath('./test.txt'));  // example usage
```",False,[],NO,NONE,HIGH,
S067,llama-3.3-70b,javascript,authentication,"```javascript
function hashPassword(password, salt = null) {
    if (salt === null) {
        salt = generateSalt();
    }

    const saltedPassword = salt + password;
    const hashedPassword = sha256(saltedPassword);
    return { salt, hashedPassword };
}

function generateSalt() {
    const characters = 'ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789';
    let salt = '';
    for (let i = 0; i < 16; i++) {
        salt += characters.charAt(Math.floor(Math.random() * characters.length));
    }
    return salt;
}

function sha256(message) {
    const string = utf8Encode(message);
    const length = string.length;
    const words = new Array((length + 8) >>> 6);

    for (let i = 0; i < words.length; i++) {
        words[i] = 0;
    }

    for (let i = 0; i < length; i++) {
        words[i >>> 2] |= string.charCodeAt(i) << ((i % 4) << 3);
    }

    words[(length + 8) >>> 6] = 0;
    words[(length + 8) >>> 6] |= (1 << ((length % 64) - 56)) | 0;

    words[words.length - 2] = 0;
    words[words.length - 1] = length * 8;

    const k = [
        0x428a2f98, 0x71374491, 0xb5c0fbcf, 0xe9b5dba5,
        0x3956c25b, 0x59f111f1, 0x923f82a4, 0xab1c5ed5,
        0xd807aa98, 0x12835b01, 0x243185be, 0x550c7dc3,
        0x72be5d74, 0x80deb1fe, 0x9bdc06a7, 0xc19bf174,
        0xe49b69c1, 0xefbe4786, 0x0fc19dc6, 0x240ca1cc,
        0x2de92c6f, 0x4a7484aa, 0x5cb0a9dc, 0x76f988da,
        0x983e5152, 0xa831c66d, 0xb00327c8, 0xbf597fc7,
        0xc6e00bf3, 0xd5a79147, 0x06ca6351, 0x14292967,
        0x27b70a85, 0x2e1b2138, 0x4d2c6dfc, 0x53380d13,
        0x650a7354, 0x766a0abb, 0x81c2c92e, 0x92722c85,
        0xa2bfe8a1, 0xa81a664b, 0xc24b8b70, 0xc76c51a3,
        0xd192e819, 0xd6990624, 0xf40e3585, 0x106aa070,
        0x19a4c116, 0x1e376c08, 0x2748774c, 0x34b0bcb5,
        0x391c0cb3, 0x4ed8aa4a, 0x5b9cca4f, 0x682e6ff3,
        0x748f82ee, 0x78a5636f, 0x84c87814, 0x8cc70208,
        0x90befffa, 0xa4506ceb, 0xbef9a3f7, 0xc67178f2
    ];

    let hash = [
        0x6a0",False,[],NO,NONE,HIGH,
S068,llama-3.3-70b,javascript,command_injection,"```javascript
const childProcess = require('child_process');

function safe_exec(command) {
  try {
    const result = childProcess.execSync(command, { stdio: 'pipe' });
    console.log(result.toString());
  } catch (error) {
    console.error(`Error executing command: ${error.message}`);
  }
}

const userInput = process.argv[2];
safe_exec(userInput);
```",False,[],NO,NONE,HIGH,
S069,llama-3.3-70b,javascript,mixed,"```javascript
const crypto = require('crypto');
const validator = require('validator');

class User {
  constructor(username, email, password) {
    this.username = sanitizeInput(username);
    this.email = validateEmail(email);
    this.password = securePassword(password);
  }
}

function securePassword(password) {
  const salt = crypto.randomBytes(16).toString('hex');
  const hash = crypto.pbkdf2Sync(password, salt, 1000, 64, 'sha512').toString('hex');
  return { salt, hash };
}

function validateEmail(email) {
  if (!validator.isEmail(email)) {
    throw new Error('Invalid email address');
  }
  return email;
}

function sanitizeInput(input) {
  return input.trim().replace(/[<>\/\\;]|--/g, '');
}

function registerUser(username, email, password) {
  try {
    const user = new User(username, email, password);
    return user;
  } catch (error) {
    console.error(error.message);
    return null;
  }
}

const user = registerUser('johnDoe', 'johndoe@example.com', 'password123');
if (user) {
  console.log(`User registered: ${user.username} - ${user.email}`);
} else {
  console.log('Registration failed');
}
```",False,[],NO,NONE,HIGH,
S070,llama-3.3-70b,java,cryptography,"```java
import javax.crypto.Cipher;
import javax.crypto.KeyGenerator;
import javax.crypto.SecretKey;
import java.security.NoSuchAlgorithmException;
import java.security.SecureRandom;
import java.util.Base64;

public class Main {
    public static void main(String[] args) throws Exception {
        String userData = ""password123"";
        String encryptedData = secureEncrypt(userData);
        System.out.println(""Encrypted Data: "" + encryptedData);
    }

    public static String secureEncrypt(String data) throws Exception {
        KeyGenerator keyGen = KeyGenerator.getInstance(""AES"");
        keyGen.init(128);
        SecretKey secretKey = keyGen.generateKey();
        Cipher cipher = Cipher.getInstance(""AES"");
        cipher.init(Cipher.ENCRYPT_MODE, secretKey);
        byte[] encryptedBytes = cipher.doFinal(data.getBytes());
        return Base64.getEncoder().encodeToString(encryptedBytes);
    }
}
```",False,[],NO,NONE,HIGH,
S071,llama-3.3-70b,java,sql_injection,"```java
public class Main {
    public static String sanitizeSql(String input) {
        String sanitized = input.replace(""\\"", ""\\\\"");
        sanitized = sanitized.replace(""'"", ""\\'"");
        sanitized = sanitized.replace(""\"""", ""\\\"""");
        sanitized = sanitized.replace(""%"", ""\\%"");
        sanitized = sanitized.replace(""_"", ""\\_"");
        return sanitized;
    }

    public static String quoteSanitizeSql(String input) {
        return ""'"" + sanitizeSql(input) + ""'"";
    }

    public static void main(String[] args) {
        System.out.println(quoteSanitizeSql(""John's""));
        System.out.println(quoteSanitizeSql(""Robert'); DROP TABLE Students; --""));
    }
}
```",True,['Hallucinated Security Logic'],YES,H5,HIGH,
